specialty_name,doctor_count,bucket,parent_bucket,pediatric_capable,routable,flag
General Practice,246,general_medicine,,false,true,
Dentistry,186,dentistry_general,,false,true,
Obstetrics And Gynecology,96,obgyn,general_medicine,false,true,
Pediatrics,82,pediatrics,general_medicine,true,true,
Internal Medicine,77,general_medicine,,false,true,merged_per_decision_1
General Surgery,72,general_surgery,general_medicine,false,true,
General Practitioner,70,general_medicine,,false,true,
Orthopedic Surgery,62,orthopedics,general_medicine,false,true,
Ophthalmology,54,ophthalmology,general_medicine,false,true,
Orthodontics,51,orthodontics,dentistry_general,false,true,
Dermatology,47,dermatology,general_medicine,false,true,
Cardiology,46,cardiology,general_medicine,false,true,
Gastroenterology,36,gastroenterology,general_medicine,false,true,
Urology,31,urology,general_medicine,false,true,
Periodontics,30,periodontics,dentistry_general,false,true,
General Dentist,29,dentistry_general,,false,true,
Neonatology,27,pediatrics,general_medicine,true,true,REVIEW_own_bucket
Neurology,27,neurology,general_medicine,false,true,
Family Medicine,26,general_medicine,,false,true,
Otolaryngology,25,ent,general_medicine,false,true,
Anesthesia,25,not_routable,,false,false,
ENT,23,ent,general_medicine,false,true,
Radiology,21,not_routable,,false,false,
Pulmonology,20,pulmonology,general_medicine,false,true,
Allergy,20,allergy_immunology,general_medicine,false,true,
Physiotherapy,20,physiotherapy,orthopedics,false,true,
Psychiatry,18,psychiatry,general_medicine,false,true,
Endodontics,18,dentistry_general,,false,true,
Pediatric Dentistry,18,dentistry_general,,true,true,
Surgery,17,general_surgery,general_medicine,false,true,
Gynecology,17,obgyn,general_medicine,false,true,
Nephrology,16,nephrology,general_medicine,false,true,
Oral and Maxillofacial Surgery,16,dentistry_general,,false,true,decision_7
Diagnostic Radiology,16,not_routable,,false,false,
Endocrinology,16,endocrinology,general_medicine,false,true,
General Medicine,16,general_medicine,,false,true,
Neurosurgery,14,neurology,general_medicine,false,true,decision_6
pathology,14,not_routable,,false,false,
Laparoscopic Surgery,13,general_surgery,general_medicine,false,true,
Plastic Surgery,12,plastic_aesthetic,dermatology,false,true,
Implantologist,12,dentistry_general,,false,true,
Cardiac surgery,12,cardiology,general_medicine,false,true,
General Pediatrician,9,pediatrics,general_medicine,true,true,
Medical Oncology,9,oncology,general_medicine,false,false,REVIEW_routable
Dietician,8,nutrition,general_medicine,false,true,REVIEW_new_bucket
Prosthodontics,8,dentistry_general,,false,true,
Interventional Cardiology,8,cardiology,general_medicine,false,true,
Oncology,8,oncology,general_medicine,false,false,REVIEW_routable
nil,8,unknown,,false,false,DATA_QUALITY
Vascular Surgery,7,cardiology,general_medicine,false,true,REVIEW_vs_general_surgery
Pain Medicine,7,not_routable,,false,false,REVIEW_routable
Aerospace Medicine,7,not_routable,,false,false,
Aesthetic Medicine,7,plastic_aesthetic,dermatology,false,true,
Dentistry And Orhtodontics,7,dentistry_general,,false,true,TYPO_ambiguous
Head Neck Surgery,7,ent,general_medicine,false,true,
Surgical Oncology,6,oncology,general_medicine,false,false,
Emergency Medicine,6,emergency,,false,false,prefilter_not_a_class
Pediatric Cardiology,6,cardiology,general_medicine,true,true,
Homeopathy,6,alternative_medicine,,false,false,
Hematology,6,oncology,general_medicine,false,false,
Internal medicine,6,general_medicine,,false,true,CASE_DUP
Critical Care Medicine,5,not_routable,,false,false,
Andrology,5,urology,general_medicine,false,true,
Dental Care,5,dentistry_general,,false,true,
Hepatology,5,gastroenterology,general_medicine,false,true,
Cardiovascular Surgery,5,cardiology,general_medicine,false,true,
Hair Trasnsplantation,4,plastic_aesthetic,dermatology,false,true,TYPO
Pediatric Oncology,4,oncology,general_medicine,true,false,
Geriatric Medicine,4,general_medicine,,false,true,REVIEW_age_filter
General Surgeon,4,general_surgery,general_medicine,false,true,
Rheumatology,4,rheumatology,general_medicine,false,true,thin_supply_use_parent_fallback
BMT,4,oncology,general_medicine,false,false,
